Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward
500,1.4123753,0.0002986156,-5.275706,0.09202593,-3.9546025,1.2357465,0.09239431,275.64117,3.611628,8.457015,0.49312302,0.5441622,0.2379194,-0.14151512847092818,225.0,-0.14151509059593081,69.47035217285156,33.48688280582428
1000,1.3846691,0.00029552064,-4.890586,9.4846,2.0149615,63.52379,0.10153264,21.878529,0.5557998,6.032148,0.47731516,0.49829066,0.1540606,1.4599386260815663,251.0,1.4599386500194669,156.50517082214355,209.50112915039062
1500,1.360119,0.0002924116,-4.035079,12.743364,14.090608,24.446455,0.07723414,3.9592009,0.38123804,3.0056086,0.46999648,0.51645064,0.1349676,1.6840000797601533,320.5,1.6840000818483531,53.45859998464584,234.87563109397888
2000,1.33324,0.00028944935,-3.2120554,12.202404,24.036045,15.5333605,0.10285004,2.328322,0.26946566,1.685044,0.41366297,0.5838108,0.12566894,1.2285796147043584,455.0,1.228579611517489,43.27432233095169,388.7756881713867
2500,1.3092407,0.000286571,-2.5194898,10.369502,28.173767,78.27399,0.091364756,2.4093368,0.486632,2.3255472,0.53747934,0.4965566,0.11559391,1.6893742954744084,168.25,1.7283605098103483,8.482314318418503,159.79937410354614
3000,1.2829092,0.0002835875,-2.0412624,9.559387,40.951855,2.5624995,0.079827316,2.9612114,0.36848816,1.9674926,0.45363852,0.5130864,0.10803031,1.425122208451891,142.66666666666666,1.4619455873034894,11.111224085092545,158.48368644714355
3500,1.2551658,0.00028060438,-2.7269025,10.537487,46.677956,7.325591,0.11106125,1.8718845,0.32369554,1.4882236,0.41898984,0.61290264,0.09960805,1.1001794274634449,424.0,1.1001794431358576,15.59549617767334,281.1288948059082
4000,1.2291011,0.0002775082,-2.2105339,9.65512,46.51395,7.131521,0.12593225,3.5372143,0.7773238,1.3013427,0.407699,0.6061789,0.09025614,-0.3197347400309809,327.0,-2.045644512400031,41.05107355117798,297.8635425567627
4500,1.1992618,0.00027443326,-1.8659213,7.956153,44.934067,17.755762,0.098901644,2.0248203,0.6945118,1.6739254,0.48441714,0.50783396,0.0859044,1.6657762801551144,113.5,1.5792425504575174,7.966184397538503,125.26040522257487
5000,1.1722847,0.00027151228,-1.697004,7.3659253,45.465965,1.6703094,0.06908228,0.9537451,0.14604367,1.5057443,0.48274395,0.5113564,0.080060855,1.722749879816547,242.0,1.6660332535393536,8.501838974654675,149.17497420310974
5500,1.1464497,0.00026856322,-1.3504033,6.6934505,46.800346,8.509591,0.10970506,0.9755905,0.34069088,1.5081441,0.47430524,0.51875067,0.0774944,1.557023734683753,120.5,1.6500768295178811,3.8180452386538186,118.18753306070964
6000,1.117407,0.00026550394,-0.727641,5.778319,47.939655,1.9282545,0.09978427,0.53753245,0.23323794,1.375965,0.45663592,0.5347255,0.07196304,1.7717805043333403,168.66666666666666,1.7717805209880073,2.564572195212046,128.1022049585978
6500,1.0883701,0.0002624125,-1.0300791,4.9331217,50.06982,1.8395895,0.09593297,0.47299612,0.17463408,1.348241,0.4430406,0.5368243,0.06899065,1.5282594894839956,169.0,1.5282595188667376,1.9663316756486893,104.05532964070638
7000,1.0562854,0.00025942526,-1.3915734,5.005006,55.742195,14.499401,0.11330618,0.9098159,0.36507535,1.5428007,0.45717633,0.5446093,0.06424095,1.6520465484354645,410.0,1.6520465705543756,8.397024929523468,421.07411193847656
7500,1.0310949,0.00025649916,-0.96044517,4.356497,53.298065,9.081794,0.15099238,0.72550154,0.3459056,1.304848,0.43281442,0.6095605,0.058951065,-2.0762000420872937,675.0,-2.0762001518160105,14.516680479049683,436.7374668121338
8000,1.0030991,0.00025350504,-0.9366699,3.9145658,58.54679,2.7604818,0.08232668,0.5219367,0.16997302,1.4714187,0.46370244,0.5212386,0.058494985,1.6756002122237987,280.0,1.6756002162583172,3.254311591386795,220.03510665893555
8500,0.9721599,0.00025041847,-0.38528037,3.9237566,58.848274,2.2362313,0.1715934,0.34770998,0.17109618,1.5333915,0.5018317,0.494654,0.05514504,1.7595098172132566,224.5,1.759509806521237,1.7688940316438675,158.31997680664062
9000,0.94222885,0.0002475206,-0.3493592,3.4513402,62.305832,18.345963,0.08058443,0.66459537,0.2794702,1.795974,0.5353434,0.45228696,0.051778153,1.6793841575272381,315.0,1.6793841598555446,2.2118258690461516,289.1329391002655
9500,0.911176,0.00024452817,-0.18541239,3.6362512,62.2148,1.4052223,0.15557213,0.6848722,0.48891577,1.3940444,0.4794706,0.5574884,0.04985625,-0.19941864942666143,268.5,-0.19941855920478702,7.300291180610657,272.161865234375
10000,0.8769104,0.00024141512,-0.5803498,3.2347813,60.33599,5.739966,0.22641438,1.0051466,0.36659956,1.2184018,0.4141679,0.6010375,0.048342608,-2.0405112020962406,359.0,-2.04051108378917,7.254754424095154,175.28390979766846
10500,0.84874415,0.0002385514,-0.13026902,2.9460874,58.367355,12.382011,0.15963262,0.71884716,0.3390966,1.4442029,0.4697091,0.5601679,0.044531055,-0.18599676193480263,320.0,-0.18599670426920056,8.110367819666862,270.76111602783203
11000,0.8209734,0.00023550955,0.18136899,3.035687,65.14973,2.7004192,0.090398446,0.39490873,0.24449322,1.569593,0.50277305,0.47948852,0.04199339,1.66637545076325,203.0,1.666375455756982,1.9574324215451877,195.17328715324402
11500,0.790524,0.00023250605,-0.2965878,2.558445,70.86168,4.7645698,0.11038551,0.3316623,0.24354753,1.3879969,0.45442697,0.54389113,0.04080428,None,None,None,None,None
12000,0.76115525,0.00022955719,-0.07846018,2.3306954,60.873943,7.8231072,0.09277102,0.48134708,0.17192584,1.4395742,0.47264457,0.54745877,0.038396258,0.3617512702548993,341.3333333333333,0.3617512860024969,3.571705741186937,281.4549768765767
12500,0.7304463,0.00022646255,0.03176405,2.21156,66.48065,4.6637926,0.107417226,0.20940496,0.25331423,1.655677,0.5306814,0.46274412,0.037672177,1.7972811259496666,185.0,1.7972811697982252,0.9150120858103037,156.78925561904907
13000,0.69686466,0.00022349064,-0.029430948,1.7115772,67.38928,0.9874127,0.10593203,0.20509264,0.28052977,1.4927655,0.49920526,0.4922825,0.035435095,1.6225325611012522,414.0,1.6225326154381037,1.922046348452568,308.2104892730713
13500,0.6700636,0.00022058611,0.39634204,1.7444329,69.036575,5.258706,0.11405343,0.5307442,0.51923645,1.4373333,0.48749822,0.5241478,0.03336018,1.5683772459633474,206.0,1.5683772205375135,1.1305903643369675,145.19291400909424
14000,0.64200896,0.00021761334,0.34878072,1.6189773,69.66142,10.873992,0.18063043,0.5389591,0.41084847,1.2439939,0.40958455,0.55704516,0.03255141,-0.5954519243714458,376.5,-0.5954519035294652,3.6935238987207413,264.808087348938
14500,0.6099233,0.00021446236,0.44130832,1.091123,64.51259,8.521014,0.125229,0.6326909,0.5792905,1.371238,0.46670926,0.56229234,0.031221965,1.120064870774513,217.0,1.1200648592785,2.570467174053192,164.7541275024414
15000,0.5790101,0.00021144442,0.66649747,1.3792514,64.74974,1.830962,0.06403553,0.31180304,0.17224509,1.500937,0.4985769,0.49167612,0.02928343,1.5938312884318293,235.0,1.5938312926640112,2.005350341399511,196.6796662012736
15500,0.5525867,0.00020858439,0.4154384,1.1917869,65.96227,1.7503227,0.14017849,0.16106614,0.14511953,1.3854573,0.47981915,0.52198493,0.028435154,1.6748261943539546,242.5,1.6748262094333768,1.0642178356647491,188.69128036499023
16000,0.52476496,0.00020563192,0.41206023,1.3406003,65.783875,2.1052268,0.13611951,0.21423496,0.28138396,1.4576133,0.4959209,0.5063933,0.027516311,1.5432574840597226,159.66666666666666,1.5432575177401304,0.8168869316577911,123.95466168721516
