Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
1000,-2.7853901,10.447353,3.532338,1.3866163,0.000277398,1.6352615630821674,259.5,1.607302234818538,114.74253718058269,102.1525267759959,50.07841,0.08716217,22.64941,0.49743164,7.1107664,0.5081831,0.5764153,0.14947149
1500,-2.1656327,15.077318,12.534075,1.3615593,0.00026230767,1.4137651936835027,204.0,1.566452348139137,18.090583562850952,134.6948971748352,19.500557,0.10576478,4.9854364,0.6440065,4.5155573,0.4562788,0.5090125,0.13153963
2000,-1.2606423,14.637836,18.966331,1.3345329,0.00024718358,1.5243979362749087,267.0,1.5243979548104107,34.13276541233063,165.3922233581543,10.303804,0.06417268,3.459964,0.21513696,2.5678933,0.39569262,0.58917993,0.13086972
2500,-0.7878671,13.899063,31.77631,1.3058957,0.00023158135,1.7263637475916767,427.0,1.7263637874275446,26.644594073295593,470.7128486633301,46.087234,0.10266486,4.838966,0.52879614,2.3278651,0.53394145,0.46813315,0.11414114
3000,-0.45589018,11.719816,35.493984,1.2824609,0.00021661239,-0.09573929529869929,276.0,-0.09573927894234657,44.32517874240875,174.66654360294342,11.289578,0.0875918,2.6030645,0.3011912,1.6764871,0.47175205,0.519081,0.1043607
3500,-0.26918465,11.328306,42.106083,1.2569184,0.00020223814,1.7168217527287197,194.5,1.716821753885597,8.002801418304443,178.0646266937256,5.1358986,0.10736827,2.1350822,0.3426213,1.8074504,0.51008457,0.47969785,0.09927947
4000,-0.7747433,10.390257,43.69487,1.2294645,0.00018727376,-2.038644486114208,342.0,-2.0386445047333837,18.38348114490509,239.49641609191895,8.095018,0.13902953,2.075233,0.24832986,1.5673938,0.47059858,0.5321652,0.09331864
4500,0.08470408,10.084579,45.20288,1.208083,0.00017251761,0.9335815134400036,564.0,0.9335815235972404,30.82195234298706,604.7881278991699,47.768017,0.08563972,2.0857632,0.36719206,2.0006638,0.4916933,0.51603943,0.090204954
5000,0.39582592,9.071625,45.71062,1.181215,0.00015769305,0.4261433375334794,281.0,0.4261433742940426,13.394998093446096,164.88813241322836,9.601261,0.11275022,1.743976,0.26086497,1.4641061,0.36970806,0.6388663,0.08425745
5500,0.26780555,8.067668,48.684353,1.1536336,0.00014258594,-0.16482607653233572,231.5,-0.16482609044760466,7.696248084306717,152.33007049560547,15.052041,0.066649735,1.3761699,0.40031183,1.5567913,0.4782477,0.5449242,0.07909472
6000,0.010162132,6.9330883,49.994095,1.1288493,0.00012789451,1.5836147762820474,94.0,1.583614788018167,1.9069437254220247,78.44397616386414,7.1052403,0.111179374,0.9103212,0.30200833,1.4716767,0.49074733,0.54455394,0.07361191
6500,-0.12785926,6.0208178,52.494637,1.0986906,0.00011298426,1.5223276494980382,330.0,1.5223276088945568,5.525527939200401,289.13252353668213,8.113024,0.0670934,0.7088086,0.20156167,1.5428897,0.51731145,0.5109724,0.07068227
7000,0.19483373,4.9172955,56.08843,1.073851,9.7432945e-05,1.4455019936976896,305.0,1.4455019901506603,5.019011273980141,281.36548376083374,12.099536,0.07940909,0.7854643,0.32676062,1.4786413,0.49131316,0.52176434,0.06560922
7500,0.47447893,4.0122213,57.86179,1.0434637,8.1824684e-05,1.3967610662584775,269.0,1.3967610858380795,4.110704772174358,187.9620590209961,3.0021873,0.1147614,0.77759016,0.31515285,1.4025164,0.47532195,0.52327025,0.06125348
8000,0.57619613,3.5309992,60.75746,1.0156748,6.7277586e-05,1.6906918845925247,95.66666666666667,1.6906918700163562,1.0402750273545582,75.61875597635905,2.290004,0.08771756,0.4745315,0.19594292,1.4096146,0.471077,0.5355546,0.059313066
8500,0.56771404,3.1741326,60.24055,0.9834633,5.2317933e-05,0.4018021140388252,188.33333333333334,0.401802159845829,3.36955663561821,145.9614396095276,3.8377202,0.10433622,0.8559439,0.35814464,1.4492601,0.47383362,0.5267516,0.055914395
9000,0.026681043,2.7272058,61.71231,0.9518709,3.743736e-05,-2.0463776797041646,411.0,-2.0463776495307684,6.87015300989151,311.6237373352051,2.4662297,0.09558016,0.73529714,0.3560268,1.3820446,0.46909347,0.5425507,0.053537745
9500,0.42744747,2.4699762,62.45294,0.91795486,2.2413198e-05,1.6996195486099168,318.5,1.699619579128921,3.2096234913915396,249.60407400131226,2.0597332,0.09799853,0.37256676,0.1309205,1.4224964,0.4864949,0.52196866,0.049186554
10000,0.51511645,2.0043666,64.21305,0.88589436,6.9085427e-06,1.7006160617311252,219.0,1.7006160663440824,1.6054930686950684,188.53381824493408,2.490942,0.11374015,0.38601488,0.38163126,1.5550671,0.5266424,0.48781523,0.046638057
