Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
1000,-3.6336963,3.3943534,8.963016,1.3816531,0.0002956182,0.5640117296989047,247.5,0.2655108831822872,122.26935450236003,260.79376220703125,130.55688,0.107242934,15.954056,0.35167518,6.989805,0.5329573,0.519475,0.16693331
1500,-2.2732263,7.73002,26.051445,1.3502942,0.0002926574,1.5602530096875853,425.0,1.5098836873658001,58.32337427139282,200.11994171142578,35.875988,0.0915707,8.948696,0.42533574,4.847835,0.522741,0.5246923,0.15196437
2000,-1.2263708,7.8496866,30.246138,1.3177724,0.00028966652,1.5773227166767658,142.0,1.577322737313807,11.490045070648193,107.03700955708821,9.489982,0.11680809,4.0182924,0.44316858,2.9121184,0.45307505,0.5466398,0.13406348
2500,-0.973709,8.374912,37.976585,1.2878067,0.0002866388,1.6495566440971743,189.0,1.6495566605590284,7.858535885810852,145.86119890213013,9.901187,0.120334655,3.747948,0.3353817,1.8665254,0.48327544,0.5232613,0.11898473
3000,-1.066997,8.60596,41.21498,1.255669,0.00028347594,1.577534264307663,177.33333333333334,1.5775342416018248,24.535661697387695,149.79496701558432,23.442274,0.09213273,3.8737183,0.43217692,1.6644263,0.47335488,0.5400591,0.10559346
3500,-1.2472696,8.453942,47.319344,1.22514,0.000280389,1.5074631008901633,481.0,1.5074630687013268,42.17994403839111,428.94675636291504,5.9661145,0.1285907,1.8270684,0.23824698,1.6431977,0.50663185,0.49207687,0.09713665
4000,-0.31623682,7.2493176,46.979534,1.1905121,0.00027736914,1.4626731003033153,191.0,1.462673137895763,9.782294372717539,152.8759767214457,7.6904593,0.093639225,2.0936105,0.38164976,1.6547945,0.49853176,0.50458705,0.09428074
4500,-0.19909605,7.2807717,48.968765,1.1584688,0.0002743877,1.7120052044847398,196.33333333333334,1.7120051955183346,4.989251673221588,152.3749941190084,6.6626906,0.10579414,1.0621358,0.2608581,1.5062785,0.48768675,0.5278499,0.084606916
5000,-0.7856176,6.712781,54.006504,1.1307194,0.00027149756,1.6708616888790857,296.0,1.6708616875112057,6.127065300941467,248.845703125,3.9712126,0.094608404,0.88390064,0.1846592,1.6014829,0.50335467,0.49062642,0.07855401
5500,-0.22957747,6.6613255,54.75969,1.0960728,0.00026854812,1.6308954906780855,482.0,1.630895466543734,11.355972051620483,422.2755928039551,10.971458,0.107863165,1.2346057,0.21321237,1.5444336,0.49100646,0.53432876,0.074565515
6000,0.18896727,5.9134865,56.096638,1.0656784,0.0002655691,-0.334469140307192,372.0,-2.0740000251680613,26.954253911972046,311.0937194824219,1.8632027,0.17220166,1.1565344,0.23333332,1.1342983,0.37065732,0.6348417,0.06894986
6500,0.2075985,5.083124,57.615585,1.0286485,0.00026253334,1.7107900413684547,189.5,1.6088806024442117,6.485443224509557,146.376269419988,17.849962,0.08709411,1.3788215,0.22388753,1.6659431,0.508255,0.4904034,0.063956425
7000,0.049715426,4.882126,61.81945,0.9901567,0.00025943562,1.5929060780217696,253.0,1.5929060433991253,4.1981494426727295,196.8905210494995,3.2313936,0.09569022,0.7346668,0.2525635,1.4983817,0.4931387,0.5222263,0.059613828
7500,0.45005068,4.3567104,63.22254,0.95191205,0.00025636805,None,None,None,None,None,11.227764,0.15003532,0.8763648,0.2756391,1.1626506,0.3754471,0.6492946,0.056219015
8000,0.2417482,3.8284235,62.35534,0.91346836,0.00025333444,-0.30881319892432657,370.0,-0.30881318589672446,9.930790208280087,213.48924618959427,13.835176,0.12773138,0.95170283,0.22663161,1.382942,0.43661946,0.59350836,0.052027047
8500,0.48304492,3.442236,62.276546,0.8810407,0.00025041567,0.9215649673642474,594.0,0.921564950607717,11.570306211709976,370.04649353027344,5.5469236,0.15473817,0.51949155,0.1688077,1.0932081,0.35295555,0.6345008,0.049417604
9000,0.8093062,3.1983747,61.871628,0.8404222,0.000247508,1.7323946631076979,223.0,1.7323946999385953,3.344632625579834,172.97315184275308,6.218569,0.19300261,0.7481389,0.39248574,1.3401763,0.43037915,0.5514014,0.04679862
9500,0.39572302,2.8433833,65.29414,0.801953,0.00024450576,1.5382722930771706,222.5,1.5382723258808255,3.3185416348278522,149.9727063179016,2.885903,0.107033715,0.5845192,0.2313081,1.338154,0.4424813,0.5555529,0.043349564
10000,0.76813245,2.5632527,63.342426,0.7642892,0.00024145054,1.5322674631364255,183.66666666666666,1.532267481399079,1.6078448444604874,117.58326196670532,2.9833782,0.13068101,0.39244136,0.29765934,1.3564087,0.4534065,0.53738296,0.04006623
10500,0.34156287,2.2487447,63.417717,0.72953105,0.00023856014,1.5786803913142649,336.0,1.5786804435774684,4.835672840476036,294.73646354675293,6.7508445,0.115479134,0.63866717,0.24180067,1.511827,0.49416837,0.5184944,0.038110875
11000,0.6362775,1.8528088,62.087585,0.68765897,0.0002355833,1.6849374836456263,451.0,1.6849374482408166,3.826269805431366,304.0614128112793,1.3226869,0.09119709,0.3652706,0.15461323,1.3719949,0.46245128,0.5314834,0.03671799
11500,0.90298235,1.7391918,60.641075,0.65050477,0.0002325348,1.7524653823929839,202.33333333333334,1.7524653719738126,1.2190973026057084,126.02044415473938,1.598949,0.10743151,0.25514856,0.22513863,1.2594223,0.4272678,0.5687465,0.03517913
12000,0.85645044,1.677542,60.557415,0.6135692,0.00022961201,-2.053733424465463,476.0,-2.0537333777174354,6.116925626993179,159.47407150268555,7.769891,0.14586294,0.46532494,0.2596382,1.0935743,0.3410703,0.65136766,0.0330038
12500,0.5829207,1.1952546,57.522713,0.57858545,0.00022660175,1.2371578829479404,386.0,1.2371578309684992,3.380069874227047,198.0909194946289,2.3935761,0.11335406,0.41249198,0.331938,0.89429605,0.32597563,0.66907,0.031582724
13000,0.45867515,1.1207502,63.562416,0.5382781,0.00022354105,1.2400191217457177,302.0,1.2400191687047482,3.8327497243881226,294.8429718017578,12.829229,0.21534744,0.53746617,0.19094148,1.3172936,0.42109108,0.5786674,0.030354682
13500,0.963143,1.3895245,56.725517,0.5066928,0.00022051962,-0.1578403041967249,408.0,-0.15784028312191367,5.581823289394379,199.99543619155884,13.473214,0.20304576,0.43927652,0.26008093,1.1816568,0.35957274,0.6770319,0.028459642
14000,0.31619567,1.1844776,58.619133,0.47458833,0.0002175795,-2.052066757780267,461.0,-2.0520668318495154,5.389562159776688,340.41051483154297,3.476952,0.11531019,0.43097875,0.30619296,1.2842258,0.43664885,0.58484906,0.026852407
14500,0.40712014,1.069403,63.1827,0.43859652,0.00021464404,None,None,None,None,None,2.7744508,0.31898227,0.5827905,0.27041292,1.1558652,0.3945616,0.6206701,0.027382175
15000,0.106341034,1.2618127,57.59811,0.40435523,0.00021160262,-0.8262881737900898,373.3333333333333,-2.060266561806202,7.000344067811966,348.65496134757996,1.5240827,0.1965606,0.4609709,0.23917505,0.9828207,0.3514399,0.6823957,0.025094297
15500,0.28053352,1.1726367,63.86819,0.36686888,0.0002085541,1.7423961050444632,322.0,1.6920323609374464,1.2263456415385008,229.2101707458496,30.74494,0.16424778,0.25319567,0.21583374,1.7807058,0.5537301,0.49905336,0.023997502
16000,0.4188503,0.9927089,68.69968,0.3266194,0.00020558828,1.5327359631919535,333.0,1.5327359912917018,1.3081306517124176,239.80054664611816,7.6084366,0.22759035,0.16482699,0.15603116,1.5880632,0.500315,0.51693714,0.023385476
16500,0.5858425,0.9775982,66.963684,0.29431403,0.00020267101,1.5692657450381375,311.0,1.5692657898180187,0.910079681314528,273.22609055042267,2.3178582,0.19655606,0.11505991,0.17337362,1.4397728,0.49375886,0.5217401,0.02315415
17000,0.5938961,0.9358298,67.84693,0.25756615,0.00019965622,0.4060670368756594,225.66666666666666,1.6242227600887418,0.5183982271701097,124.34157991409302,7.112098,0.15390825,0.22739069,0.20763442,1.0743355,0.36324525,0.6211241,0.021916091
17500,0.45367226,0.9526386,66.216805,0.21875674,0.000196511,1.7372246231934696,177.5,0.48140158007542294,1.196150888999303,163.72663696606955,18.66999,0.14235584,0.2668581,0.37660795,1.5039757,0.48009124,0.54707015,0.021193154
18000,0.4373473,0.7262318,66.713326,0.18486668,0.00019342519,1.1083896628479124,592.0,1.1083896299824119,7.372637152671814,494.2100238800049,1.7403873,0.2714023,0.44511658,0.37254608,1.364485,0.473171,0.54118454,0.020849004
18500,0.6785738,1.0566165,65.40325,0.15041186,0.00019041728,1.6804082861078011,130.66666666666666,1.6804082551971078,0.8795947680870692,114.73764610290527,5.7300754,0.20379274,0.28533107,0.28798467,1.6335099,0.53274995,0.48648402,0.020021584
19000,0.7960248,1.0130991,65.00316,0.113705255,0.00018739175,1.6739448687985714,236.0,1.673944876063615,1.2465631309896708,180.87273454666138,0.7424938,0.16851635,0.10617884,0.18840718,1.5132202,0.5052433,0.49801502,0.019297503
19500,0.85925627,0.8351595,63.82444,0.0773239,0.00018440308,1.5431245598010719,189.33333333333334,1.543124573926131,0.6027683454255263,132.8416420618693,1.091404,0.21939884,0.15737793,0.35197112,1.3465855,0.47180098,0.54277074,0.01919625
