Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
500,1.4138675,0.00028529819,0.8534701,0.1401675,-0.29046547,0.767302126121649,239.0,0.7673021228983998,66.63525295257568,95.0676281452179,0.09302204,0.8357917,192.89955,3.3373418,9.153028,0.50407755,0.52342236,0.28095818
1000,1.3941412,0.00025426628,0.93277687,0.9859111,1.4189286,0.8373213737504557,157.33333333333334,0.8373213596642017,32.81634489695231,150.31540234883627,58.285477,0.41568875,10.506725,0.56424785,6.6127367,0.49371907,0.5467975,0.13478556
1500,1.3788188,0.00022469956,0.5570057,1.8966517,3.3396368,0.8040769674407784,249.5,0.8040769742801785,15.977905720472336,179.11414051055908,30.188599,0.3825366,2.6410267,0.17757477,3.5682197,0.493506,0.5249726,0.1149822
2000,1.36127,0.00019451803,0.49728093,1.8165221,4.6583037,0.8183090324746445,244.0,0.8183090300299227,12.303619906306267,129.7688868045807,11.630988,0.45538852,2.1693227,0.13566737,2.5113127,0.47222567,0.49703324,0.11352909
2500,1.3456935,0.00016482176,0.5799465,1.777621,5.733889,0.834532529435819,147.5,0.834532517939806,4.170369371771812,128.442232131958,38.77027,0.38941234,1.2805165,0.13878193,1.8966948,0.4909622,0.5240558,0.11372253
3000,1.3259672,0.00013552154,0.6403294,1.6045328,6.460283,0.872648393366641,137.0,0.8726483670373758,3.1828676958878837,134.3427030245463,24.900358,0.7284348,1.1414151,0.16591424,1.8435954,0.4839573,0.5139065,0.114781134
3500,1.308187,0.000105186555,0.823665,1.465824,6.9925594,0.7868444812702364,385.0,0.7868444742634892,12.082297384738922,263.5096387863159,23.554386,0.24620958,1.3967038,0.13436048,1.5835344,0.4780896,0.5344601,0.1134651
4000,1.2905644,7.396126e-05,0.60115224,1.6448312,7.363568,0.8484331070139888,189.5,0.8484331225045025,4.4151967242360115,126.23257541656494,20.026222,0.34267503,0.98771036,0.13199788,1.4014418,0.43884322,0.5488654,0.107249066
4500,1.2743188,4.4974266e-05,0.41620877,1.3388722,7.5323486,0.8103765223737961,189.33333333333334,0.810376496364673,3.379081646601359,161.1578311920166,30.407238,0.42634344,0.7506182,0.12855694,1.6118925,0.4942227,0.5236748,0.10466087
5000,1.2565289,1.5395812e-05,0.07582706,1.2118274,7.8188524,0.8206815667411623,175.0,0.8206815551966429,2.434763173262278,117.6972541809082,22.320377,0.3781056,0.54959714,0.11945769,1.6046859,0.49741268,0.507569,0.10748069
